ID,Year,Course Letter,Course Number,Course Code,Course Title,Points,Responses,Enrolled,Low Sample,Q1: Well-organised,Q1 Rank,Q2: Clear communication,Q2 Rank,Q3: Assessment helped,Q3 Rank,Q4: Helpful feedback,Q4 Rank,Q5: Workload (3=ideal),Q5 Rank,Q6: Understanding,Q6 Rank,Q7: Interest,Q7 Rank,Q8: Valuable,Q8 Rank,Q9: Overall quality,Q9 Rank
11,2016,ARCI,211,ARCI211,Architecture Design I / Te Whakarākei Whare I,15,16,116,True,1.9,top10,1.7,top10,2.1,top10,1.6,top10,3,top10,2.1,top10,2,top10,2.5,top10,2.6,top10
12,2016,ARCI,312,ARCI312,Architecture Design Integration Capstone / Te Whakakotahitanga o ngā Tikanga-Tūtohu o te Whakarākei Whare,30,41,126,False,1.8,top10,1.6,top10,1.7,top10,2.1,top10,2.9,top10,1.8,top10,1.5,top10,1.4,top10,2,top10
13,2016,ASIA,101,ASIA101,Aotearoa New Zealand and Asia,20,23,122,True,1.4,top10,1.4,top10,1.8,top10,1.8,top10,2.9,top10,1.9,top10,2,top10,1.7,top10,2.1,top10
14,2016,ASIA,203,ASIA203,Modern Korean Society,20,2,14,True,1,top10,1.5,top10,1.5,top10,1.5,top10,3,top10,1.5,top10,1,top10,1,top10,1,top10
15,2016,ASIA,301,ASIA301,Nation and Nationalism in Asia,20,8,25,True,1.5,top10,1.5,top10,1.3,top10,1.5,top10,2.7,top10,1.5,top10,1.5,top10,1.5,top10,1.5,top10
16,2016,ASIA,304,ASIA304,Modern Korean Society,20,4,13,True,1,top10,1,top10,1,top10,1,top10,3,top10,1,top10,1,top10,1,top10,1.3,top10
17,2016,BILD,231,BILD231,Environmental Design / Hoahoa Taiao,15,14,49,False,1.5,top10,1.9,top10,1.5,top10,1.7,top10,3,top10,1.4,top10,1.5,top10,1.4,top10,1.8,top10
18,2016,BILD,251,BILD251,History of Building Technology / Ngā Whanaketanga a te Ao Hangahanga,15,16,64,False,1.5,top10,1.2,top10,1.5,top10,1.5,top10,3,top10,1.7,top10,2.1,top10,1.8,top10,1.8,top10
19,2016,BILD,261,BILD261,Building Project Management Economics / Te Whakahaere i te Ōhanga o ngā Mahi Waihanga Whare,15,4,53,True,3.5,top10,4.2,top10,4.5,top10,4,top10,2.8,top10,4,top10,5,top10,4,top10,4.5,top10
20,2016,BILD,262,BILD262,Building Project Management Cost Planning / Te Whakahaere me te Whakamahere ā-utu i ngā Mahi Waihanga Whare,15,6,46,True,4.3,top10,4,top10,3.2,top10,3.2,top10,3.1,top10,2.5,top10,2.5,top10,3,top10,3.5,top10
21,2016,BILD,321,BILD321,Sustainable Engineering Systems Design / Ngā Punaha Whakarauora i te Taiao,15,17,46,False,4.4,top10,4.7,top10,2.9,top10,2.8,top10,1.6,top10,2.8,top10,4.1,top10,2.9,top10,4.2,top10
22,2016,BILD,322,BILD322,Structures / Ngā Āhuatanga Whare,15,24,51,False,1.3,top10,1.3,top10,1.4,top10,1.9,top10,3,top10,1.8,top10,2.2,top10,1.5,top10,1.5,top10
23,2016,BILD,361,BILD361,Project Management / Ngā Kaupapa Whakahaere,15,15,51,False,2.8,top10,3,top10,1.9,top10,2.9,top10,3.1,top10,2.1,top10,1.8,top10,1.7,top10,2.9,top10
24,2016,BILD,362,BILD362,Construction Law / Ngā Ture Waihanga,15,4,48,True,2.5,top10,1.8,top10,2,top10,3.5,top10,3,top10,2.2,top10,2.5,top10,2.2,top10,2.2,top10
25,2016,BILD,364,BILD364,Building Code Compliance / Ngā Ture Whakaruruhau,15,8,80,True,1.5,top10,2,top10,1.8,top10,1.8,top10,3,top10,1.3,top10,2.2,top10,1.3,top10,2,top10
26,2016,BIOL,111,BIOL111,Cell and Molecular Biology,15,31,347,True,1.8,top10,1.4,top10,2.1,top10,2.4,top10,2.9,top10,1.9,top10,2.2,top10,1.9,top10,2.3,top10
27,2016,BIOL,113,BIOL113,Biology of Plants,15,52,249,False,1.3,top10,1.5,top10,1.6,top10,2,top10,2.9,top10,1.5,top10,1.6,top10,1.8,top10,1.6,top10
28,2016,BIOL,114,BIOL114,Biology of Animals,15,73,357,False,1.7,top10,1.7,top10,2.3,top10,3,top10,2.8,top10,1.7,top10,1.5,top10,1.7,top10,2.1,top10
29,2016,BIOL,227,BIOL227,Plants and Algae: Function and Diversity,20,22,115,True,2.1,top10,1.7,top10,2,top10,2.4,top10,2.5,top10,1.8,top10,2.4,top10,2.2,top10,2.8,top10
30,2016,BIOL,228,BIOL228,Animal Diversity,20,36,160,False,1.3,top10,1.4,top10,1.5,top10,2.1,top10,2.9,top10,1.3,top10,1.4,top10,1.4,top10,1.4,top10
31,2016,BIOL,241,BIOL241,Genetics,20,42,218,True,2.1,top10,2.1,top10,2.2,top10,2.9,top10,3,top10,1.9,top10,2.7,top10,2,top10,2.7,top10
32,2016,BIOL,252,BIOL252,Cell and Developmental Biology,20,28,128,False,1.3,top10,1.2,top10,1.6,top10,1.9,top10,2.7,top10,1.7,top10,1.8,top10,1.6,top10,1.8,top10
33,2016,BIOL,271,BIOL271,Introductory Marine Ecology,20,22,85,False,1.1,top10,1.1,top10,1.3,top10,2,top10,3.1,top10,1.2,top10,1.1,top10,1.1,top10,1.2,top10
34,2016,BIOL,327,BIOL327,Population and Community Ecology,20,22,67,False,1.8,top10,1.5,top10,1.9,top10,2.6,top10,3,top10,1.9,top10,2.2,top10,1.7,top10,2.2,top10
35,2016,BIOL,328,BIOL328,Behaviour and Conservation Ecology,20,19,84,False,1.6,top10,1.4,top10,1.9,top10,1.9,top10,2.9,top10,1.8,top10,2,top10,1.6,top10,1.9,top10
36,2016,BIOL,340,BIOL340,Genes and Genomes,20,21,85,False,1.7,top10,1.5,top10,1.9,top10,3.1,top10,2.9,top10,1.8,top10,2.1,top10,1.7,top10,2.2,top10
37,2016,BIOL,371,BIOL371,Marine Ecology,20,5,36,True,1.1,top10,1.1,top10,1.1,top10,1.3,top10,3,top10,1.1,top10,1.1,top10,1.1,top10,1.1,top10
38,2016,BIOL,372,BIOL372,Applied Marine Biology,20,12,43,False,1.7,top10,1.9,top10,1.7,top10,2.2,top10,3,top10,1.8,top10,1.6,top10,1.4,top10,1.9,top10
39,2016,BMSC,116,BMSC116,Sex and Evolution,15,22,127,True,1.7,top10,1.3,top10,1.4,top10,2.8,top10,2.8,top10,1.7,top10,1.9,top10,1.8,top10,2,top10
40,2016,BMSC,117,BMSC117,The Biology of Disease,15,23,152,True,1.2,top10,1.3,top10,1.7,top10,2.1,top10,2.9,top10,1.4,top10,1.2,top10,1.2,top10,1.5,top10
41,2016,BMSC,301,BMSC301,Medical Microbiology,20,18,46,False,1.1,top10,1.1,top10,1.3,top10,1.8,top10,3,top10,1.3,top10,1.3,top10,1.2,top10,1.3,top10
42,2016,BMSC,334,BMSC334,Cell and Immunobiology,20,21,93,False,1.4,top10,1.3,top10,1.6,top10,2.1,top10,2.8,top10,1.7,top10,1.8,top10,1.6,top10,2,top10
43,2016,BMSC,335,BMSC335,Physiology and Pathology 2,20,25,75,False,1.8,top10,2.1,top10,2,top10,2.3,top10,2.2,top10,1.8,top10,1.9,top10,1.7,top10,2.1,top10
44,2016,BMSC,354,BMSC354,Pharmacology,20,10,26,False,1.3,top10,1.2,top10,1.5,top10,1.3,top10,3,top10,1.5,top10,1.2,top10,1.5,top10,1.3,top10
45,2016,BTEC,101,BTEC101,Introduction to Biotechnology,15,22,63,False,1.3,top10,1.2,top10,1.5,top10,1.9,top10,3.1,top10,1.2,top10,1.1,top10,1.3,top10,1.3,top10
46,2016,BTEC,301,BTEC301,Biotechnological Techniques and Processes,20,6,27,True,1.3,top10,1.3,top10,1.5,top10,2.2,top10,2.2,top10,1.8,top10,1.3,top10,1.9,top10,2,top10
47,2016,CGRA,151,CGRA151,Introduction to Computer Graphics and Games,15,25,161,True,1.7,top10,1.8,top10,1.9,top10,2.1,top10,3,top10,1.9,top10,2,top10,2,top10,2.2,top10
48,2016,CHEM,113,CHEM113,Concepts of Chemistry,15,43,188,False,1.9,top10,1.8,top10,1.7,top10,2.2,top10,2.4,top10,1.9,top10,3.1,top10,2,top10,2.3,top10
49,2016,CHEM,191,CHEM191,Introductory Chemistry,15,5,42,True,1.3,top10,1.1,top10,1.3,top10,1.8,top10,2.7,top10,1.9,top10,1.3,top10,1.1,top10,1.8,top10
50,2016,CHIN,101,CHIN101,Chinese Language 1A,20,13,66,True,1.6,top10,1.4,top10,1.4,top10,2.7,top10,2.9,top10,1.6,top10,1.6,top10,1.3,top10,1.9,top10
51,2016,CHIN,213,CHIN213,Chinese Culture Through Literature and Film,20,1,31,True,2,top10,2,top10,4,top10,2,top10,1,top10,2,top10,2,top10,4,top10,3,top10
52,2016,CLAS,111,CLAS111,Myth and Mythologies,20,43,129,False,1.4,top10,1.3,top10,1.6,top10,1.9,top10,2.7,top10,1.8,top10,2.1,top10,2,top10,1.8,top10
53,2016,CLAS,208,CLAS208,Greek Society,20,20,60,False,1.3,top10,1.5,top10,1.6,top10,2.6,top10,2.9,top10,1.7,top10,1.8,top10,1.7,top10,1.6,top10
54,2016,CLAS,211,CLAS211,Myth and Storytelling,20,26,62,False,1.5,top10,1.5,top10,1.5,top10,2.1,top10,2.7,top10,1.8,top10,2.2,top10,2.1,top10,2.4,top10
55,2016,CLAS,308,CLAS308,Greek Society,20,12,33,False,1.5,top10,1.8,top10,1.7,top10,1.9,top10,3,top10,1.9,top10,2,top10,1.9,top10,2.1,top10
56,2016,CLAS,311,CLAS311,Myth and Storytelling,20,19,50,False,1.5,top10,1.3,top10,1.5,top10,1.5,top10,2.8,top10,1.8,top10,2,top10,1.6,top10,1.7,top10
57,2016,CMPO,101,CMPO101,"Introduction to Composition, Digital Music and Film Scoring",15,8,29,True,1.5,top10,1.7,top10,1.5,top10,2.5,top10,2.8,top10,1.2,top10,1.5,top10,1.7,top10,1.9,top10
58,2016,CMPO,201,CMPO201,Projects in Composition (Classical/Jazz),15,7,14,True,1.4,top10,1.2,top10,1.1,top10,1.2,top10,2.9,top10,1.4,top10,1.2,top10,1.3,top10,1.4,top10
59,2016,CMPO,202,CMPO202,Projects in Small Ensemble Composition and Orchestration,15,3,10,True,1.3,top10,1,top10,1.3,top10,1,top10,3.3,top10,1,top10,1,top10,1,top10,1,top10
60,2016,CMPO,210,CMPO210,Electronic Music and Sound Design,15,9,15,True,1.8,top10,1.3,top10,1.3,top10,2,top10,2.9,top10,1.3,top10,1.7,top10,1.4,top10,1.9,top10
61,2016,CMPO,301,CMPO301,Advanced Projects in Composition (Classical/Jazz),20,3,15,True,1,top10,1.3,top10,1.3,top10,1.3,top10,3,top10,1.3,top10,1.8,top10,1.3,top10,1.3,top10
62,2016,CMPO,305,CMPO305,Topic in Composition/Sonic Arts: Digital Composition for Film,20,6,10,True,1.1,top10,1.3,top10,1.3,top10,1.3,top10,3.1,top10,1.3,top10,1.8,top10,1.5,top10,1.5,top10
63,2016,CMPO,306,CMPO306,Topic in Composition/Sonic Arts: Film Music Composition and Orchestration,20,14,19,False,1,top10,1,top10,1,top10,1.1,top10,2.7,top10,1,top10,1.3,top10,1.1,top10,1,top10
64,2016,CMPO,310,CMPO310,Electronic Music Projects,20,7,13,True,1.7,top10,1.3,top10,1.7,top10,2.1,top10,2.8,top10,1.7,top10,1.4,top10,1.2,top10,1.4,top10
65,2016,COML,307,COML307,Legal Issues for e-Commerce,15,6,86,True,1.1,top10,1.3,top10,1.3,top10,3,top10,3,top10,1.5,top10,1.3,top10,1.5,top10,1,top10
66,2016,COML,310,COML310,Business Contracts,15,12,213,True,1.4,top10,1.1,top10,1.5,top10,2.2,top10,3,top10,1.4,top10,1.9,top10,1.5,top10,1.4,top10
67,2016,COMP,102,COMP102,Introduction to Computer Program Design,15,84,501,True,1.5,top10,1.5,top10,1.5,top10,1.8,top10,2.6,top10,1.6,top10,2,top10,1.6,top10,1.9,top10
68,2016,COMP,103,COMP103,Introduction to Data Structures and Algorithms,15,66,341,True,1.7,top10,1.4,top10,1.3,top10,1.9,top10,2.8,top10,1.4,top10,2,top10,1.5,top10,2,top10
69,2016,COMP,112,COMP112,Introduction to Computer Science,15,3,71,True,1.8,top10,2,top10,1.8,top10,2.3,top10,2.3,top10,1.8,top10,2,top10,1.3,top10,2,top10
70,2016,COMP,261,COMP261,Algorithms and Data Structures,15,40,200,False,1.5,top10,1.6,top10,1.6,top10,1.9,top10,2.8,top10,1.6,top10,1.9,top10,1.5,top10,1.9,top10
71,2016,COMP,361,COMP361,Design and Analysis of Algorithms,15,23,50,False,1.5,top10,1.3,top10,1.2,top10,2.1,top10,2.9,top10,1.8,top10,1.9,top10,1.6,top10,1.7,top10
72,2016,CREW,253,CREW253,Poetry Workshop - He Rotarota,20,7,12,True,1.4,top10,1.1,top10,1.1,top10,1.1,top10,3,top10,1.4,top10,1.2,top10,1.2,top10,1.2,top10
73,2016,CREW,254,CREW254,Short Fiction Workshop - He Kōrero Paki,20,19,24,False,1.1,top10,1.1,top10,1.1,top10,1.1,top10,3.1,top10,1.2,top10,1.1,top10,1.1,top10,1.1,top10
74,2016,CREW,255,CREW255,Writing for the Young- He Tuhinga mā ngā Tamariki,20,5,12,True,1.1,top10,1.3,top10,1.1,top10,1.1,top10,3,top10,1.1,top10,1.3,top10,1.1,top10,1.1,top10
75,2016,CREW,257,CREW257,Creative Nonfiction Workshop- He Kōrero Pono,20,8,13,True,1.1,top10,1,top10,1.2,top10,1.2,top10,3,top10,1.2,top10,1,top10,1.1,top10,1.1,top10
76,2016,CREW,351,CREW351,Writing for Television Workshop - He Tuhinga mō te Pouaka Whakaata,20,2,9,True,1.5,top10,1.5,top10,1,top10,1,top10,3,top10,1,top10,1,top10,1,top10,1,top10
77,2016,CREW,353,CREW353,Writing for Theatre Workshop - He Tuhinga Whakaari,20,8,12,True,1,top10,1,top10,1.1,top10,1.1,top10,2.9,top10,1.2,top10,1.1,top10,1.1,top10,1,top10
78,2016,CRIM,111,CRIM111,Introduction to Criminology,20,50,595,True,1.4,top10,1.3,top10,1.8,top10,2,top10,3,top10,1.5,top10,1.6,top10,1.7,top10,1.8,top10
79,2016,CRIM,217,CRIM217,Criminal Psychology,20,54,197,False,1.1,top10,1.1,top10,1.7,top10,1.9,top10,3,top10,1.4,top10,1.3,top10,1.4,top10,1.5,top10
80,2016,CRIM,313,CRIM313,"Women, Crime and Social Control",20,15,46,False,1.2,top10,1.3,top10,1.7,top10,1.7,top10,3,top10,1.1,top10,1.2,top10,1.2,top10,1.3,top10
81,2016,CRIM,314,CRIM314,"Special Topic: Delinquency, Ethnicity and Gangs",20,11,59,True,2,top10,1.4,top10,2,top10,2,top10,3.1,top10,1.8,top10,2,top10,1.8,top10,2.6,top10
82,2016,CRIM,324,CRIM324,Sexual Violence,20,21,80,False,1.2,top10,1.1,top10,1.3,top10,1.3,top10,3.1,top10,1.2,top10,1.1,top10,1.1,top10,1.2,top10
83,2016,CRIM,326,CRIM326,Criminological Research Methods,20,30,164,True,1.8,top10,1.5,top10,1.4,top10,1.9,top10,3,top10,1.4,top10,2.1,top10,1.6,top10,1.9,top10
84,2016,DSDN,101,DSDN101,Design Visualisation / Pohewatanga ā-Hoahoa,15,42,198,False,1.9,top10,2,top10,1.8,top10,2,top10,2.8,top10,1.9,top10,1.9,top10,1.9,top10,2.1,top10
85,2016,DSDN,104,DSDN104,Digital Fabrication / Waihanga Matihiko,15,10,112,True,1.2,top10,1.2,top10,1.2,top10,1.5,top10,3,top10,1.1,top10,1.2,top10,1.3,top10,1.5,top10
86,2016,DSDN,132,DSDN132,Design Narratives and Visual Storytelling / Paki ā-Hoahoa me te Pakiwaitara ā-Ataata,15,24,121,True,1.9,top10,2,top10,1.4,top10,2,top10,2.7,top10,1.6,top10,1.6,top10,1.7,top10,2.1,top10
87,2016,DSDN,141,DSDN141,Design Mediums and Processes / Ngā Huarahi me Ngā Tukanga ā-Hoahoa,15,13,116,True,1.9,top10,1.8,top10,2.1,top10,2.1,top10,3.1,top10,1.9,top10,2.6,top10,1.9,top10,2.6,top10
88,2016,DSDN,142,DSDN142,Creative Coding and AI I / Waehere ā-Auaha me te Atamai Hangahanga I,15,29,133,False,1.5,top10,1.3,top10,1.5,top10,2,top10,3,top10,1.5,top10,1.8,top10,1.7,top10,2.3,top10
89,2016,DSDN,481,DSDN481,Research Methods/Tikanga ā-Rangahau,30,6,31,True,2.5,top10,2,top10,2,top10,2,top10,2.9,top10,2.5,top10,2.5,top10,2.5,top10,2.5,top10
90,2016,ECON,130,ECON130,Microeconomic Principles,15,118,948,True,1.7,top10,1.7,top10,1.9,top10,2.7,top10,2.9,top10,2.1,top10,3,top10,2.1,top10,2.5,top10
91,2016,ECON,141,ECON141,Macroeconomic Principles,15,76,645,True,1.8,top10,1.5,top10,2,top10,2.2,top10,3,top10,2.1,top10,2.8,top10,2,top10,2.4,top10
92,2016,ECON,201,ECON201,Intermediate Microeconomics,15,39,207,True,1.8,top10,1.8,top10,1.8,top10,2.7,top10,2.9,top10,2.1,top10,3.1,top10,2.1,top10,2.5,top10
93,2016,ECON,202,ECON202,Open-economy Macroeconomics,15,25,220,True,1.8,top10,1.8,top10,2.2,top10,3.1,top10,3,top10,2,top10,2.3,top10,1.8,top10,2.4,top10
94,2016,ECON,301,ECON301,Econometrics,15,3,10,True,1.3,top10,1.3,top10,1.3,top10,1.3,top10,2.8,top10,2,top10,3.3,top10,2.3,top10,3,top10
95,2016,ECON,303,ECON303,Applied Econometrics,15,7,16,True,2.4,top10,2.3,top10,2.1,top10,2.7,top10,2.9,top10,2,top10,2.1,top10,2.1,top10,2.9,top10
96,2016,ECON,305,ECON305,Advanced Macroeconomics,15,22,71,False,1.1,top10,1.3,top10,1.2,top10,1.8,top10,2.7,top10,1.2,top10,1.3,top10,1.3,top10,1.3,top10
97,2016,ECON,307,ECON307,Economic Policy,15,17,64,False,2.1,top10,2,top10,2.4,top10,3,top10,2.9,top10,2.3,top10,3.5,top10,2.3,top10,2.9,top10
98,2016,ECON,314,ECON314,Game Theory,15,11,51,False,1.4,top10,1.6,top10,1.4,top10,2.6,top10,3,top10,1.8,top10,1.6,top10,1.9,top10,1.9,top10
99,2016,ECON,333,ECON333,Labour Economics,15,14,76,True,1.7,top10,1.6,top10,1.4,top10,2.6,top10,3,top10,1.6,top10,1.9,top10,1.8,top10,2,top10
100,2016,EDUC,101,EDUC101,"Education, Society and Culture",20,32,199,True,3.7,top10,3.7,top10,2.8,top10,2.8,top10,3.1,top10,2.7,top10,3.4,top10,2.4,top10,3.5,top10
101,2016,EDUC,116,EDUC116,Understanding Young Children,15,16,89,True,2.1,top10,2,top10,2,top10,2.4,top10,3,top10,2.2,top10,2.8,top10,2.3,top10,2.8,top10
102,2016,EDUC,117,EDUC117,Motivation and Grit,20,21,111,True,1.2,top10,1.1,top10,1.3,top10,2.1,top10,3,top10,1.3,top10,1.4,top10,1.3,top10,1.3,top10
103,2016,EDUC,141,EDUC141,Human Development and Learning,20,68,348,True,1.2,top10,1.2,top10,1.3,top10,1.4,top10,3,top10,1.2,top10,1.2,top10,1.3,top10,1.2,top10
104,2016,EDUC,221,EDUC221,"Youth, Society and Education",20,16,90,True,1.2,top10,1.1,top10,1.3,top10,1.2,top10,3,top10,1.4,top10,1.3,top10,1.3,top10,1.2,top10
105,2016,EDUC,222,EDUC222,Educational Inquiry,20,6,14,True,2,top10,1.3,top10,1.8,top10,1.5,top10,3.1,top10,1.5,top10,2,top10,1.5,top10,2,top10
106,2016,EDUC,243,EDUC243,Learning and Motivation,20,14,50,False,1.2,top10,1,top10,1.1,top10,1.5,top10,3,top10,1.1,top10,1.1,top10,1.1,top10,1.1,top10
107,2016,EDUC,244,EDUC244,Issues in Child and Adolescent Development,20,31,92,False,1.2,top10,1.1,top10,1.5,top10,2,top10,3,top10,1.5,top10,1.4,top10,1.4,top10,1.4,top10
108,2016,EDUC,321,EDUC321,Education Policy and Practice,20,9,38,True,1.1,top10,1,top10,1.1,top10,1.1,top10,3,top10,1.1,top10,1.1,top10,1.1,top10,1.1,top10
109,2016,EDUC,322,EDUC322,Multi-ethnic Education,20,17,59,False,1.8,top10,1.6,top10,1.3,top10,1.9,top10,3.1,top10,1.2,top10,1.3,top10,1.1,top10,1.3,top10
110,2016,EDUC,341,EDUC341,Learning Environments,20,20,31,False,1.6,top10,1.4,top10,1.7,top10,1.3,top10,2.9,top10,2,top10,2.4,top10,1.8,top10,2.1,top10
111,2016,EDUC,342,EDUC342,Supporting Diverse Ākonga/Learners,20,11,37,False,1.2,top10,1.2,top10,1.9,top10,2.1,top10,2.8,top10,1.6,top10,1.7,top10,1.7,top10,2,top10
112,2016,EDUC,343,EDUC343,Youth and Life Challenges,20,21,60,False,1.1,top10,1.1,top10,1.1,top10,1.3,top10,3,top10,1.1,top10,1,top10,1,top10,1,top10
113,2016,ENGL,112,ENGL112,Cultural Encounters: The Literature of Aotearoa New Zealand,20,30,68,False,1.3,top10,1.2,top10,1.5,top10,1.2,top10,2.9,top10,1.3,top10,1.4,top10,1.4,top10,1.3,top10
114,2016,ENGL,202,ENGL202,Nineteenth-Century American Literature,20,36,73,False,1.4,top10,1.3,top10,1.8,top10,1.9,top10,2.4,top10,1.6,top10,1.5,top10,1.5,top10,1.8,top10
115,2016,ENGL,203,ENGL203,Modernist Literature,20,18,60,False,2.3,top10,2.5,top10,1.9,top10,1.5,top10,2.8,top10,1.9,top10,1.9,top10,1.8,top10,2,top10
116,2016,ENGL,208,ENGL208,Shakespeare,20,32,62,False,1.3,top10,1.6,top10,1.9,top10,1.9,top10,2.9,top10,1.6,top10,1.5,top10,1.7,top10,1.6,top10
117,2016,ENGL,209,ENGL209,The Realist Novel,20,25,83,False,1.1,top10,1,top10,1.2,top10,1.2,top10,2.9,top10,1.2,top10,1.2,top10,1.2,top10,1.1,top10
118,2016,ENGL,228,ENGL228,Special Topic: Dark and Stormy Nights: Gothic Literature,20,28,95,False,1.2,top10,1.2,top10,1.8,top10,2.2,top10,2.9,top10,1.6,top10,1.5,top10,1.7,top10,1.6,top10
119,2016,ENGL,311,ENGL311,Romantic Literature,20,31,71,False,1.1,top10,1,top10,1.3,top10,1.5,top10,3,top10,1.4,top10,1.3,top10,1.4,top10,1.3,top10
120,2016,ENGL,315,ENGL315,Restoration and 18th Century Literature,20,14,47,False,1,top10,1,top10,1.3,top10,1.1,top10,3,top10,1.1,top10,1.3,top10,1.2,top10,1.1,top10
121,2016,ENGL,330,ENGL330,Postcolonial Literature,20,18,58,False,1.4,top10,1.4,top10,1.3,top10,1.7,top10,2.9,top10,1.4,top10,1.3,top10,1.3,top10,1.3,top10
122,2016,ENGR,101,ENGR101,Engineering Technology,15,25,228,True,1.2,top10,1.1,top10,1.2,top10,1.3,top10,2.9,top10,1.4,top10,1.3,top10,1.5,top10,1.3,top10
123,2016,ENGR,110,ENGR110,Engineering Design,15,66,175,False,1.5,top10,1.3,top10,1.4,top10,2,top10,2.9,top10,1.6,top10,1.8,top10,1.5,top10,1.5,top10
124,2016,ENGR,122,ENGR122,Engineering Mathematics with Calculus,15,23,37,False,1.7,top10,1.5,top10,1.2,top10,2.1,top10,3,top10,1.4,top10,2.1,top10,1.7,top10,2,top10
125,2016,ENGR,142,ENGR142,Engineering Physics for Electronics and Computer Systems,15,11,30,False,1.4,top10,1.8,top10,1.3,top10,1.9,top10,2.7,top10,1.4,top10,1.9,top10,1.3,top10,1.9,top10
126,2016,ENGR,301,ENGR301,Engineering Project Management 1,15,38,68,False,1.6,top10,1.5,top10,1.5,top10,1.4,top10,2.9,top10,1.5,top10,2.5,top10,1.8,top10,1.7,top10
127,2016,ENGR,302,ENGR302,Engineering Project Management 2,15,13,68,True,2.8,top10,2.7,top10,2,top10,2.2,top10,2.3,top10,1.6,top10,3,top10,1.4,top10,2.7,top10
128,2016,ENGR,401,ENGR401,Professional Practice,15,24,48,False,2,top10,1.9,top10,2.3,top10,1.9,top10,3,top10,1.8,top10,2.6,top10,2,top10,2.4,top10
129,2016,ESCI,204,ESCI204,Petrology and Microscopy,20,4,52,True,1.2,top10,1.2,top10,4,top10,4,top10,3.2,top10,1.5,top10,1.5,top10,1.5,top10,1.5,top10
130,2016,ESCI,241,ESCI241,Introductory Field Geology,10,25,59,False,1.2,top10,1.5,top10,1.4,top10,1.6,top10,2.7,top10,1.2,top10,1.3,top10,1.3,top10,1.6,top10
131,2016,ESCI,302,ESCI302,Tectonics and Structural Geology,20,17,41,False,2,top10,2.1,top10,1.9,top10,2.2,top10,2.7,top10,2.1,top10,2.4,top10,2,top10,2.3,top10
132,2016,ESCI,305,ESCI305,Environmental and Applied Geophysics,20,9,29,True,1.9,top10,1.3,top10,1.4,top10,2,top10,2.8,top10,1.4,top10,1.7,top10,1.6,top10,1.9,top10
133,2016,FHSS,202,FHSS202,BA Internship,20,14,19,False,1.4,top10,1.3,top10,1.8,top10,1.1,top10,2.8,top10,1.7,top10,2,top10,1.4,top10,1.6,top10
134,2016,FHSS,302,FHSS302,FHSS Internship,20,17,21,False,1.5,top10,1.4,top10,1.7,top10,1.3,top10,3,top10,1.7,top10,2.5,top10,1.7,top10,1.7,top10
135,2016,FILM,101,FILM101,Introduction to Film Analysis,20,61,219,False,1.3,top10,1.2,top10,1.8,top10,1.9,top10,3,top10,1.5,top10,1.6,top10,1.7,top10,1.8,top10
