Number,Job Title,Group,Division,Manager Job Title
10050,Senior Development Engineer,Environment & Sustainability,Planning,Development Engineer Manager
10051,Lifeguard,Neighbourhoods & Communities,Aquatics,Operations Lead
10052,Internal Communications Advisor,Strategy & Engagement,"Customer, Communications & Engagement",Corporate Communications Lead
10053,Financial Transaction Service Manager,Office of the Chief Executive,Finance,Group Chief Financial Officer
10054,Compliance Officer,Environment & Sustainability,Building Control,Building Compliance Manager
10055,Senior Information Management Advisor,Office of the Chief Executive,Information Services,Information Manager
10056,Business Analyst,Office of the Chief Executive,Information Services,Service Delivery Manager
10057,Parking Warden,Environment & Sustainability,Environmental Protection,Parking Operations Lead
10058,"Recreation, Sport & Play Advisor",Neighbourhoods & Communities,Connected Communities,"Recreation, Sport & Play Manager"
10059,Director Neighbourhoods & Communities,Neighbourhoods & Communities,Neighbourhoods & Communities,Chief Executive
10060,Environmental Health Officer,Environment & Sustainability,Environmental Protection,Alcohol Team Lead
10061,Operational Policy & Capability Manager,Environment & Sustainability,Building Control,Head Of Building Control
10062,Resource & Functions Coordinator,Neighbourhoods & Communities,Arts & Culture,Business & Operations Manager
10063,Inspections Team Lead,Environment & Sustainability,Building Control,Building Consents Manager
10064,Senior Advisor Waste Planning And Strategy,Environment & Sustainability,"Climate, Waste and Resource Recovery",Waste And Resource Recovery Manager
10065,Learn To Swim Instructor,Neighbourhoods & Communities,Aquatics,Swim School Lead
10066,Senior Policy Advisor,Strategy & Engagement,Strategy & Policy,Policy Lead
10067,Learn To Swim Instructor,Neighbourhoods & Communities,Aquatics,Swim School Lead
10068,Business Manager,Environment & Sustainability,Environment & Sustainability,Director Environment & Sustainability
10069,Building Compliance Manager,Environment & Sustainability,Building Control,Head Of Building Control
10070,Senior Resource Consents Planner,Environment & Sustainability,Planning,Resource Consents Lead
10071,Host | Pou Tiaki,Neighbourhoods & Communities,Neighbourhood Hubs & Library Services,Host Lead | Pou Tiaki Lead
10072,Librarian,Neighbourhoods & Communities,Neighbourhood Hubs & Library Services,Site Lead | Pou Whakahaere Pokapu Hapori
10073,Host | Pou Tiaki,Neighbourhoods & Communities,Neighbourhood Hubs & Library Services,Site Lead | Pou Whakahaere Pokapu Hapori
10074,Host | Pou Tiaki,Neighbourhoods & Communities,Neighbourhood Hubs & Library Services,Site Lead | Pou Whakahaere Pokapu Hapori
10075,Learn To Swim Instructor,Neighbourhoods & Communities,Aquatics,Swim School Lead
10076,Emergency Management Lead,Strategy & Engagement,Emergency Management,Director Strategy & Engagement
10077,Host Lead | Pou Tiaki Lead,Neighbourhoods & Communities,Neighbourhood Hubs & Library Services,Site Lead | Pou Whakahaere Pokapu Hapori
10078,Collections Specialist,Neighbourhoods & Communities,Neighbourhood Hubs & Library Services,Collections Services Manager
10079,Fitness Suite Lead,Neighbourhoods & Communities,Aquatics,Facility Manager
10080,Head of Parks & Reserves,Neighbourhoods & Communities,Parks & Reserves,Director Neighbourhoods & Communities
10081,Host | Pou Tiaki,Neighbourhoods & Communities,Neighbourhood Hubs & Library Services,Host Lead | Pou Tiaki Lead
10082,Learn To Swim Instructor,Neighbourhoods & Communities,Aquatics,Swim School Lead
10083,Senior Building Officer,Environment & Sustainability,Building Control,Residential Consents Team Lead
10084,Payroll Officer,Office of the Chief Executive,Finance,Payroll Lead
10085,Host | Pou Tiaki,Neighbourhoods & Communities,Neighbourhood Hubs & Library Services,Site Lead | Pou Whakahaere Pokapu Hapori
10086,Welcoming Communities Coordinator,Neighbourhoods & Communities,Connected Communities,Programmes & Innovation Manager
10087,Senior Building Officer,Environment & Sustainability,Building Control,Inspections Team Lead
10088,Organisation & Capability Development Lead,Office of the Chief Executive,People & Capability,Chief People Officer
10089,Learn To Swim Instructor,Neighbourhoods & Communities,Aquatics,Swim School Lead
10090,Executive Assistant,Neighbourhoods & Communities,Neighbourhoods & Communities,Director Neighbourhoods & Communities
10091,Urban Design Lead,Economy & Development,Urban Development,Head Of Urban Development
10092,Host Lead | Pou Tiaki Lead,Neighbourhoods & Communities,Neighbourhood Hubs & Library Services,Site Lead | Pou Whakahaere Pokapu Hapori
10093,Rates Officer,Office of the Chief Executive,Finance,Rates Team Lead
10094,Project Manager,Economy & Development,City Delivery,Head Of City Delivery
10095,Rates Team Lead,Office of the Chief Executive,Finance,Financial Transaction Service Manager
10096,Waste Administrator,Environment & Sustainability,"Climate, Waste and Resource Recovery",Kerbside Contract Lead
10097,Facility Manager,Neighbourhoods & Communities,Aquatics,Head Of Aquatics
10098,Chief Legal Officer,Office of the Chief Executive,Legal,Chief Executive
10099,Customer Services Lead,Neighbourhoods & Communities,Aquatics,Facility Manager
10100,Host | Pou Tiaki,Neighbourhoods & Communities,Neighbourhood Hubs & Library Services,Site Lead | Pou Whakahaere Pokapu Hapori
10101,Programme Coordinator,Office of the Chief Executive,Information Services,Programme Manager
10102,Host | Pou Tiaki,Neighbourhoods & Communities,Neighbourhood Hubs & Library Services,Site Lead | Pou Whakahaere Pokapu Hapori
10103,Monitoring & Enforcement Officer,Environment & Sustainability,Planning,Resource Consents & Compliance Manager
10104,Learn To Swim Instructor,Neighbourhoods & Communities,Aquatics,Swim School Lead
10105,HR Systems & Services Lead,Office of the Chief Executive,People & Capability,Chief People Officer
10106,Senior Engagement Advisor,Strategy & Engagement,"Customer, Communications & Engagement",Engagement Lead
10107,Cultural Advisor | Pou Reo Me Ona Tikanga,Office of the Chief Executive,Te Tira M?ori,Tumuaki Maori | Chief Maori Officer
10108,Animal Control Officer,Environment & Sustainability,Environmental Protection,Animal Services Team Lead
10109,Host | Pou Tiaki,Neighbourhoods & Communities,Neighbourhood Hubs & Library Services,Host Lead | Pou Tiaki Lead
10110,Project Manager,Office of the Chief Executive,Information Services,Programme Manager
10111,Site Lead | Pou Whakahaere Pokapu Hapori,Neighbourhoods & Communities,Neighbourhood Hubs & Library Services,Manager Neighbourhood Hubs
10112,Management Accountant,Office of the Chief Executive,Finance,Manager Financial Planning & Performance
10113,Lifeguard,Neighbourhoods & Communities,Aquatics,Operations Lead
10114,Head of Chief Executive's Office,Office of the Chief Executive,Chief Executive's Office,Chief Executive
10115,"Registrar, Exhibitions & Touring",Neighbourhoods & Communities,Arts & Culture,Exhibitions & Projects Manager
10116,Learning & Engagement Manager,Neighbourhoods & Communities,Arts & Culture,Head Of Arts & Culture
10117,Learn To Swim Instructor,Neighbourhoods & Communities,Aquatics,Swim School Lead
10118,Customer Service Representative,Strategy & Engagement,"Customer, Communications & Engagement",Customer Service Team Leader
10119,Administrator,Environment & Sustainability,Environmental Protection,Administration Team Lead
10120,Head of Environmental Protection,Environment & Sustainability,Environmental Protection,Director Environment & Sustainability
10121,Systems Innovator,Neighbourhoods & Communities,Connected Communities,Healthy Families Manager
10122,Head of Mayor's Office,Strategy & Engagement,Mayor's Office,Director Strategy & Engagement
10123,Senior Curator,Neighbourhoods & Communities,Arts & Culture,Head Of Arts & Culture
10124,Front of House Team Leader,Neighbourhoods & Communities,Arts & Culture,Business & Operations Manager
10125,Neighbourhood Facilitator,Neighbourhoods & Communities,Connected Communities,Neighbourhood Manager
10126,Customer Service Representative,Strategy & Engagement,"Customer, Communications & Engagement",Customer Service Team Leader
10127,Host | Pou Tiaki,Neighbourhoods & Communities,Neighbourhood Hubs & Library Services,Site Lead | Pou Whakahaere Pokapu Hapori
10128,Customer Service Representative,Strategy & Engagement,"Customer, Communications & Engagement",Customer Service Team Leader
10129,Executive Assistant to the Mayor,Strategy & Engagement,Mayor's Office,Head Of Mayor's Office
10130,Senior Information Management Advisor,Office of the Chief Executive,Information Services,Information Manager
10131,Learn To Swim Instructor,Neighbourhoods & Communities,Aquatics,Swim School Lead
10132,Head of Building Control,Environment & Sustainability,Building Control,Director Environment & Sustainability
10133,Principal Advisor,Strategy & Engagement,Enterprise Portfolio Management Office,Head Of Enterprise Portfolio Management Office
10134,Geospatial Analyst,Office of the Chief Executive,Information Services,Geospatial Manager
10135,Placemaking Advisor,Economy & Development,Urban Development,Urban Design Lead
10136,Heritage Specialist,Neighbourhoods & Communities,Neighbourhood Hubs & Library Services,Collections Services Manager
10137,LIM Officer,Office of the Chief Executive,Information Services,Lim Team Lead
10138,Principal Policy Planner,Environment & Sustainability,Planning,Policy Planning Manager
10139,Senior Geospatial Analyst,Office of the Chief Executive,Information Services,Geospatial Manager
10140,Senior Management Accountant,Office of the Chief Executive,Finance,Manager Financial Planning & Performance
10141,Lifeguard,Neighbourhoods & Communities,Aquatics,Operations Lead
10142,Communications Coordinator,Strategy & Engagement,"Customer, Communications & Engagement",Corporate Communications Lead
10143,Asset Manager (Reserves),Neighbourhoods & Communities,Parks & Reserves,Head Of Parks & Reserves
10144,Senior Tikanga Maori Policy Planner | Pou Whakamahere Kaupapa,Environment & Sustainability,Planning,Policy Planning Manager
10145,Policy Advisor,Strategy & Engagement,Strategy & Policy,Policy Lead
10146,Rates Officer,Office of the Chief Executive,Finance,Rates Team Lead
10147,Animal Services Manager,Environment & Sustainability,Environmental Protection,Head Of Environmental Protection
10148,Building Technician,Environment & Sustainability,Building Control,Residential Consents Team Lead
10149,Building Officer,Environment & Sustainability,Building Control,Residential Consents Team Lead
10150,Project Manager,Office of the Chief Executive,Information Services,Programme Manager
10151,Planning & Ecology Officer,Neighbourhoods & Communities,Parks & Reserves,Parks Development Planner
10152,Fitness Instructor,Neighbourhoods & Communities,Aquatics,Fitness Suite Lead
10153,Technical Lead,Office of the Chief Executive,Information Services,Service Delivery Manager
10154,HR Coordinator,Office of the Chief Executive,People & Capability,Hr Systems & Services Lead
10155,Financial Accounting Manager,Office of the Chief Executive,Finance,Group Chief Financial Officer
10156,Senior Media Advisor,Strategy & Engagement,"Customer, Communications & Engagement",Corporate Communications Lead
10157,Environmental Health Officer,Environment & Sustainability,Environmental Protection,Food Team Lead
10158,Animal Control Officer,Environment & Sustainability,Environmental Protection,Animal Services Team Lead
10159,Planning Technician,Environment & Sustainability,Planning,Resource Consents Lead
10160,Maintenance Officer,Economy & Development,Assets & Facilities Management,Facilities Manager
10161,Senior Building Inspections Officer,Environment & Sustainability,Building Control,Inspections Team Lead
10162,Resource Consents Planner,Environment & Sustainability,Planning,Resource Consents Lead
10163,Senior Events Advisor,Strategy & Engagement,"Customer, Communications & Engagement",Events Lead
10164,Host | Pou Tiaki,Neighbourhoods & Communities,Neighbourhood Hubs & Library Services,Host Lead | Pou Tiaki Lead
10165,Planning Technician,Environment & Sustainability,Planning,Resource Consents Lead
10166,Researcher / Research Analyst,Strategy & Engagement,Strategy & Policy,Principal Advisor Research And Evaluation
10167,Manager Financial Planning & Performance,Office of the Chief Executive,Finance,Group Chief Financial Officer
10168,Learn To Swim Instructor,Neighbourhoods & Communities,Aquatics,Swim City Manager
10169,Geospatial Technician,Office of the Chief Executive,Information Services,Geospatial Manager
10170,Host | Pou Tiaki,Neighbourhoods & Communities,Neighbourhood Hubs & Library Services,Host Lead | Pou Tiaki Lead
10171,Accounts Payable Team Leader,Office of the Chief Executive,Finance,Financial Transaction Service Manager
10172,Information Management Advisor,Office of the Chief Executive,Information Services,Information Manager
10173,Monitoring & Enforcement Officer,Environment & Sustainability,Planning,Resource Consents & Compliance Manager
10174,Host | Pou Tiaki,Neighbourhoods & Communities,Neighbourhood Hubs & Library Services,Site Lead | Pou Whakahaere Pokapu Hapori
10175,Resource Consents Lead,Environment & Sustainability,Planning,Resource Consents & Compliance Manager
10176,Healthy Families Manager,Neighbourhoods & Communities,Connected Communities,Head Of Connected Communities
10177,Communications & Engagement Project Lead,Strategy & Engagement,"Customer, Communications & Engagement","Head Of Customer, Communications & Engagement"
10178,Senior Accounts Receivable Officer,Office of the Chief Executive,Finance,Accounts Receivable Team Leader
10179,Customer Service Representative,Strategy & Engagement,"Customer, Communications & Engagement",Customer Service Team Leader
10180,Lifeguard,Neighbourhoods & Communities,Aquatics,Operations Lead
10181,Social Media & Content Advisor,Strategy & Engagement,"Customer, Communications & Engagement",Corporate Communications Lead
10182,Collections Services Manager,Neighbourhoods & Communities,Neighbourhood Hubs & Library Services,Head Of Neighbourhood Hubs & Library Services
10183,Learn To Swim Instructor,Neighbourhoods & Communities,Aquatics,Swim School Lead
10184,Learn To Swim Instructor,Neighbourhoods & Communities,Aquatics,Swim School Lead
10185,Host | Pou Tiaki,Neighbourhoods & Communities,Neighbourhood Hubs & Library Services,Site Lead | Pou Whakahaere Pokapu Hapori
10186,Accounts Payable Officer,Office of the Chief Executive,Finance,Accounts Payable Team Leader
10187,Host Lead | Pou Tiaki Lead,Neighbourhoods & Communities,Neighbourhood Hubs & Library Services,Site Lead | Pou Whakahaere Pokapu Hapori
10188,Maintenance Manager,Economy & Development,Assets & Facilities Management,Facilities Manager
10189,Business & Operations Manager,Neighbourhoods & Communities,Arts & Culture,Head Of Arts & Culture
10190,Host | Pou Tiaki,Neighbourhoods & Communities,Neighbourhood Hubs & Library Services,Site Lead | Pou Whakahaere Pokapu Hapori
10191,Educator,Neighbourhoods & Communities,Arts & Culture,Learning & Engagement Manager
10192,Community Arts Facilitator,Neighbourhoods & Communities,Connected Communities,Programmes & Innovation Manager
10193,Trade Waste Officer,Environment & Sustainability,Environmental Protection,Trade Waste Team Lead
10194,Cataloguer & Technical Services Librarian,Neighbourhoods & Communities,Neighbourhood Hubs & Library Services,Collections Services Manager
10195,Assistant Preparator,Neighbourhoods & Communities,Arts & Culture,Exhibitions & Projects Manager
10196,Kennel Officer,Environment & Sustainability,Environmental Protection,Animal Services Team Lead
10197,Host Lead | Pou Tiaki Lead,Neighbourhoods & Communities,Neighbourhood Hubs & Library Services,Site Lead | Pou Whakahaere Pokapu Hapori
10198,Advisor Energy And Carbon,Environment & Sustainability,"Climate, Waste and Resource Recovery","Head Of Climate, Waste And Resource Recovery"
10199,"Head of Customer, Communications & Engagement",Strategy & Engagement,"Customer, Communications & Engagement",Director Strategy & Engagement
10200,Administrator,Environment & Sustainability,Building Control,Building Compliance Manager
10201,Host | Pou Tiaki,Neighbourhoods & Communities,Neighbourhood Hubs & Library Services,Host Lead | Pou Tiaki Lead
10202,Advisor Resource Recovery,Environment & Sustainability,"Climate, Waste and Resource Recovery",Resource Recovery Lead
10203,Team Leader - Summer Pool,Neighbourhoods & Communities,Aquatics,Facility Manager
10204,Building Officer,Environment & Sustainability,Building Control,Consents Team Lead
10205,Building Officer,Environment & Sustainability,Building Control,Residential Consents Team Lead
10206,Head of Enterprise Portfolio Management Office,Strategy & Engagement,Enterprise Portfolio Management Office,Director Strategy & Engagement
10207,Public Programmes Coordinator,Neighbourhoods & Communities,Arts & Culture,Learning & Engagement Manager
10208,Host | Pou Tiaki,Neighbourhoods & Communities,Neighbourhood Hubs & Library Services,Host Lead | Pou Tiaki Lead
10209,Administrator,Environment & Sustainability,Planning,Resource Consents & Compliance Manager
10210,Learn To Swim Instructor,Neighbourhoods & Communities,Aquatics,Swim School Lead
10211,Healthy Families Hutt Valley Practice Lead,Neighbourhoods & Communities,Connected Communities,Healthy Families Manager
10212,Senior Advisor Climate And Sustainability,Environment & Sustainability,"Climate, Waste and Resource Recovery","Head Of Climate, Waste And Resource Recovery"
10213,Learn To Swim Instructor,Neighbourhoods & Communities,Aquatics,Swim School Lead
10214,Learn To Swim Instructor,Neighbourhoods & Communities,Aquatics,Swim School Lead
10215,Exhibitions & Projects Manager,Neighbourhoods & Communities,Arts & Culture,Head Of Arts & Culture
10216,Treasury Officer,Office of the Chief Executive,Finance,Financial Accounting Manager
10217,Exhibitions Preparator,Neighbourhoods & Communities,Arts & Culture,Exhibitions & Projects Manager
10218,Environmental Health Technician,Environment & Sustainability,Environmental Protection,Food Team Lead
10219,HR Advisor,Office of the Chief Executive,People & Capability,Hr Advisory Manager
10220,Water Services Advisor,Environment & Sustainability,Enviroment & Sustainability,Strategic Advisor
10221,Administrator,Environment & Sustainability,"Climate, Waste and Resource Recovery",Waste And Resource Recovery Manager
10222,Advisor,Strategy & Engagement,Strategy & Policy,Corporate Planning Lead
10223,Administrator,Environment & Sustainability,Planning,Policy Planning Manager
10224,Urban Designer,Economy & Development,Urban Development,Urban Design Lead
10225,Mayor's Office Coordinator,Strategy & Engagement,Mayor's Office,Head Of Mayor's Office
10226,Waste and Resource Recovery Manager,Environment & Sustainability,"Climate, Waste and Resource Recovery","Head Of Climate, Waste And Resource Recovery"
10227,Librarian,Neighbourhoods & Communities,Neighbourhood Hubs & Library Services,Site Lead | Pou Whakahaere Pokapu Hapori
10228,Administrator,Environment & Sustainability,Environmental Protection,Alcohol Team Lead
10229,Lifeguard Shift Supervisor,Neighbourhoods & Communities,Aquatics,Operations Lead
10230,Senior Business Analyst,Office of the Chief Executive,Information Services,Service Delivery Manager
10231,Kerbside Contract Lead,Environment & Sustainability,"Climate, Waste and Resource Recovery",Waste And Resource Recovery Manager
10232,Neighbourhood Manager,Neighbourhoods & Communities,Connected Communities,Head Of Connected Communities
10233,Infrastructure Engineer,Office of the Chief Executive,Information Services,Infrastructure Team Lead
10234,Senior Policy Advisor - M?ori | Pou Tohutohu Kaupapa Here Matua - Maori,Strategy & Engagement,Strategy & Policy,Policy Lead
10235,Head of Aquatics,Neighbourhoods & Communities,Aquatics,Director Neighbourhoods & Communities
10236,Senior Development Engineer,Environment & Sustainability,Planning,Development Engineer Manager
10237,Learn To Swim Instructor,Neighbourhoods & Communities,Aquatics,Swim School Lead
10238,Learn To Swim Instructor,Neighbourhoods & Communities,Aquatics,Swim School Lead
10239,Learn To Swim Instructor,Neighbourhoods & Communities,Aquatics,Swim School Lead
10240,Host | Pou Tiaki,Neighbourhoods & Communities,Neighbourhood Hubs & Library Services,Host Lead | Pou Tiaki Lead
10241,Learn To Swim Instructor,Neighbourhoods & Communities,Aquatics,Swim School Lead
10242,Operations Lead,Neighbourhoods & Communities,Aquatics,Facility Manager
10243,Manager Neighbourhood Hubs - North,Neighbourhoods & Communities,Neighbourhood Hubs & Library Services,Head Of Neighbourhood Hubs & Library Services
10244,Host | Pou Tiaki,Neighbourhoods & Communities,Arts & Culture,Front Of House Team Leader
10245,Service Delivery Manager,Office of the Chief Executive,Information Services,Chief Digital Officer
10246,Communications Advisor,Strategy & Engagement,"Customer, Communications & Engagement",Communications & Engagement Project Lead
10247,Senior Building Officer,Environment & Sustainability,Building Control,Consents Team Lead
10248,Head of Business & Economy,Economy & Development,Business & Economy,Director Economy & Development
10249,Senior Resource Consents Planner,Environment & Sustainability,Planning,Resource Consents Lead
10250,Resource Consents Planner,Environment & Sustainability,Planning,Resource Consents Lead
10251,Librarian,Neighbourhoods & Communities,Neighbourhood Hubs & Library Services,Site Lead | Pou Whakahaere Pokapu Hapori
10252,Parks Officer,Neighbourhoods & Communities,Parks & Reserves,Asset Manager (Reserves)
10253,Assistant Accountant,Office of the Chief Executive,Finance,Financial Accounting Manager
10254,Lifeguard Shift Supervisor,Neighbourhoods & Communities,Aquatics,Operations Lead
10255,Host | Pou Tiaki,Neighbourhoods & Communities,Neighbourhood Hubs & Library Services,Host Lead | Pou Tiaki Lead
10256,Director Strategy & Engagement,Strategy & Engagement,Strategy & Engagement,Chief Executive
10257,Animal Control Officer,Environment & Sustainability,Environmental Protection,Animal Services Team Lead
10258,Administration Officer,Neighbourhoods & Communities,Aquatics,Swim City Manager
10259,Building Officer,Environment & Sustainability,Building Control,Inspections Team Lead
10260,Building Technician,Environment & Sustainability,Building Control,Consents Team Lead
10261,Group Chief Financial Officer,Office of the Chief Executive,Finance,Chief Executive
10262,Librarian,Neighbourhoods & Communities,Neighbourhood Hubs & Library Services,Site Lead | Pou Whakahaere Pokapu Hapori
10263,Head of Planning,Environment & Sustainability,Planning,Director Environment & Sustainability
10264,Engagement Advisor,Strategy & Engagement,"Customer, Communications & Engagement",Engagement Lead
10265,Learn To Swim Instructor,Neighbourhoods & Communities,Aquatics,Swim School Lead
10266,Learn To Swim Instructor,Neighbourhoods & Communities,Aquatics,Swim School Lead
10267,Principal Quality Assurance & Environmental Officer,Environment & Sustainability,Environmental Protection,Food Team Lead
10268,Head of Neighbourhood Hubs & Library Services,Neighbourhoods & Communities,Neighbourhood Hubs & Library Services,Director Neighbourhoods & Communities
10269,Collections Manager,Neighbourhoods & Communities,Arts & Culture,Senior Curator
10270,Senior Management Accountant,Office of the Chief Executive,Finance,Manager Financial Planning & Performance
10271,Senior Credit Control Officer,Office of the Chief Executive,Finance,Rates Team Lead
10272,Learn To Swim Instructor,Neighbourhoods & Communities,Aquatics,Swim City Manager
10273,Chief Executive,Office of the Chief Executive,Chief Executive's Office,#N/A
10274,Geospatial Manager,Office of the Chief Executive,Information Services,Chief Digital Officer
10275,Director Economy & Development,Economy & Development,Economy & Development,Chief Executive
10276,Director Environment & Sustainability,Environment & Sustainability,Environment & Sustainability,Chief Executive
10277,Development Engineer,Environment & Sustainability,Planning,Development Engineer Manager
10278,Principal Development Engineer,Environment & Sustainability,Planning,Head Of Planning
10279,Principal Advisor - Aquatics & Community Assets,Economy & Development,Assets & Facilities Management,Head Of Assets & Facilities Management
10280,Administrator,Environment & Sustainability,Building Control,Consents Team Lead
10281,Kaupapa Maori Design Officer,Economy & Development,Urban Development,Urban Design Lead
10282,Fitness Instructor,Neighbourhoods & Communities,Aquatics,Fitness Suite Lead
10283,Fitness Instructor,Neighbourhoods & Communities,Aquatics,Fitness Suite Lead
10284,Learn To Swim Instructor,Neighbourhoods & Communities,Aquatics,Swim School Lead
10285,Host | Pou Tiaki,Neighbourhoods & Communities,Neighbourhood Hubs & Library Services,Site Lead | Pou Whakahaere Pokapu Hapori
10286,Librarian,Neighbourhoods & Communities,Neighbourhood Hubs & Library Services,Site Lead | Pou Whakahaere Pokapu Hapori
10287,Administration Coordinator,Neighbourhoods & Communities,Neighbourhood Hubs & Library Services,Operations Support Manager
10288,Tumuaki M?ori | Chief M?ori Officer,Office of the Chief Executive,Te Tira M?ori,Chief Executive
10289,Lifeguard,Neighbourhoods & Communities,Aquatics,Operations Lead
10290,Building Consents Manager,Environment & Sustainability,Building Control,Head Of Building Control
10291,Senior Host | Senior Pou Tiaki,Neighbourhoods & Communities,Arts & Culture,Front Of House Team Leader
10292,Building Officer,Environment & Sustainability,Building Control,Inspections Team Lead
10293,Swim School Lead,Neighbourhoods & Communities,Aquatics,Swim City Manager
10294,Administration Officer Animal Services,Environment & Sustainability,Environmental Protection,Administration Team Lead
10295,Head of Arts & Culture,Neighbourhoods & Communities,Arts & Culture,Director Neighbourhoods & Communities
10296,Senior Communications & Engagement Advisor,Strategy & Engagement,Mayor's Office,Head Of Mayor's Office
10297,Senior Democracy Advisor,Strategy & Engagement,Democratic Services,Head Of Democratic Services
10298,Host | Pou Tiaki,Neighbourhoods & Communities,Neighbourhood Hubs & Library Services,Host Lead | Pou Tiaki Lead
10299,Swim City Manager,Neighbourhoods & Communities,Aquatics,Head Of Aquatics
10300,Parking Warden,Environment & Sustainability,Environmental Protection,Parking Operations Lead
10301,Legal Operations Advisor,Office of the Chief Executive,Legal,Chief Legal Officer
10302,HR Advisory Manager,Office of the Chief Executive,People & Capability,Chief People Officer
10303,Head of Democratic Services,Strategy & Engagement,Democratic Services,Director Strategy & Engagement
10304,Parking Warden,Environment & Sustainability,Environmental Protection,Parking Operations Lead
10305,Chief People Officer,Office of the Chief Executive,People & Capability,Chief Executive
10306,Community & Biodiversity Ranger,Neighbourhoods & Communities,Parks & Reserves,Parks Development Planner
